psql:_install.sql:120: NOTICE:  CREATE TABLE will create implicit sequence "gui_kml_kml_id_seq" for serial column "gui_kml.kml_id"
psql:_install.sql:187: NOTICE:  CREATE TABLE will create implicit sequence "gui_treegde_id_seq" for serial column "gui_treegde.id"
psql:_install.sql:243: NOTICE:  CREATE TABLE will create implicit sequence "keyword_keyword_id_seq" for serial column "keyword.keyword_id"
psql:_install.sql:265: NOTICE:  CREATE TABLE will create implicit sequence "layer_layer_id_seq" for serial column "layer.layer_id"
psql:_install.sql:334: NOTICE:  CREATE TABLE will create implicit sequence "mb_group_mb_group_id_seq" for serial column "mb_group.mb_group_id"
psql:_install.sql:355: NOTICE:  CREATE TABLE will create implicit sequence "mb_log_id_seq" for serial column "mb_log.id"
psql:_install.sql:404: NOTICE:  CREATE TABLE will create implicit sequence "mb_user_mb_user_id_seq" for serial column "mb_user.mb_user_id"
psql:_install.sql:444: NOTICE:  CREATE TABLE will create implicit sequence "md_topic_category_md_topic_category_id_seq" for serial column "md_topic_category.md_topic_category_id"
psql:_install.sql:460: NOTICE:  CREATE TABLE will create implicit sequence "sld_user_layer_sld_user_layer_id_seq" for serial column "sld_user_layer.sld_user_layer_id"
psql:_install.sql:474: NOTICE:  CREATE TABLE will create implicit sequence "translations_trs_id_seq" for serial column "translations.trs_id"
psql:_install.sql:512: NOTICE:  CREATE TABLE will create implicit sequence "wfs_wfs_id_seq" for serial column "wfs.wfs_id"
psql:_install.sql:535: NOTICE:  CREATE TABLE will create implicit sequence "wfs_conf_wfs_conf_id_seq" for serial column "wfs_conf.wfs_conf_id"
psql:_install.sql:564: NOTICE:  CREATE TABLE will create implicit sequence "wfs_conf_element_wfs_conf_element_id_seq" for serial column "wfs_conf_element.wfs_conf_element_id"
psql:_install.sql:578: NOTICE:  CREATE TABLE will create implicit sequence "wfs_element_element_id_seq" for serial column "wfs_element.element_id"
psql:_install.sql:595: NOTICE:  CREATE TABLE will create implicit sequence "wfs_featuretype_featuretype_id_seq" for serial column "wfs_featuretype.featuretype_id"
psql:_install.sql:663: NOTICE:  CREATE TABLE will create implicit sequence "wms_wms_id_seq" for serial column "wms.wms_id"
psql:_install.sql:710: NOTICE:  ALTER TABLE / ADD UNIQUE will create implicit index "keyword_keyword_key" for table "keyword"
psql:_install.sql:720: NOTICE:  ALTER TABLE / ADD PRIMARY KEY will create implicit index "mb_gui_kml_pkey" for table "gui_kml"
psql:_install.sql:730: NOTICE:  ALTER TABLE / ADD PRIMARY KEY will create implicit index "md_topic_category_pkey" for table "md_topic_category"
psql:_install.sql:740: NOTICE:  ALTER TABLE / ADD PRIMARY KEY will create implicit index "pk_featuretype_id" for table "wfs_featuretype"
psql:_install.sql:750: NOTICE:  ALTER TABLE / ADD PRIMARY KEY will create implicit index "pk_featuretype_namespace" for table "wfs_featuretype_namespace"
psql:_install.sql:760: NOTICE:  ALTER TABLE / ADD PRIMARY KEY will create implicit index "pk_fkey_gui_id" for table "gui_element"
psql:_install.sql:770: NOTICE:  ALTER TABLE / ADD PRIMARY KEY will create implicit index "pk_fkey_gui_id_fkey_e_id_var_name" for table "gui_element_vars"
psql:_install.sql:780: NOTICE:  ALTER TABLE / ADD PRIMARY KEY will create implicit index "pk_fkey_mb_group_id" for table "gui_mb_group"
psql:_install.sql:790: NOTICE:  ALTER TABLE / ADD PRIMARY KEY will create implicit index "pk_fkey_mb_user_id" for table "gui_mb_user"
psql:_install.sql:800: NOTICE:  ALTER TABLE / ADD PRIMARY KEY will create implicit index "pk_fkey_mb_user_mb_group_id" for table "mb_user_mb_group"
psql:_install.sql:810: NOTICE:  ALTER TABLE / ADD PRIMARY KEY will create implicit index "pk_fkey_treegde_id" for table "gui_treegde"
psql:_install.sql:820: NOTICE:  ALTER TABLE / ADD PRIMARY KEY will create implicit index "pk_fkey_wfs_conf_id" for table "gui_wfs_conf"
psql:_install.sql:830: NOTICE:  ALTER TABLE / ADD PRIMARY KEY will create implicit index "pk_group_id" for table "mb_group"
psql:_install.sql:840: NOTICE:  ALTER TABLE / ADD PRIMARY KEY will create implicit index "pk_gui_id" for table "gui"
psql:_install.sql:850: NOTICE:  ALTER TABLE / ADD PRIMARY KEY will create implicit index "pk_gui_layer" for table "gui_layer"
psql:_install.sql:860: NOTICE:  ALTER TABLE / ADD PRIMARY KEY will create implicit index "pk_gui_wms" for table "gui_wms"
psql:_install.sql:870: NOTICE:  ALTER TABLE / ADD PRIMARY KEY will create implicit index "pk_keyword_id" for table "keyword"
psql:_install.sql:880: NOTICE:  ALTER TABLE / ADD PRIMARY KEY will create implicit index "pk_layer_id" for table "layer"
psql:_install.sql:890: NOTICE:  ALTER TABLE / ADD PRIMARY KEY will create implicit index "pk_layer_keyword" for table "layer_keyword"
psql:_install.sql:900: NOTICE:  ALTER TABLE / ADD PRIMARY KEY will create implicit index "pk_mb_log" for table "mb_log"
psql:_install.sql:910: NOTICE:  ALTER TABLE / ADD PRIMARY KEY will create implicit index "pk_mb_monitor" for table "mb_monitor"
psql:_install.sql:920: NOTICE:  ALTER TABLE / ADD PRIMARY KEY will create implicit index "pk_mb_user_id" for table "mb_user"
psql:_install.sql:930: NOTICE:  ALTER TABLE / ADD PRIMARY KEY will create implicit index "pk_md_topic_category" for table "wms_md_topic_category"
